,The Picture of Dorian Gray,The Prince,The Republic,The Problems of Philosophy,Second Treatise of Government,Beyond Good and Evil,Siddhartha,The Communist Manifesto,On Liberty,Democracy and Education: An Introduction to the Philosophy of Education,The Poetics of Aristotle,The Consolation of Philosophy,Ethics,The Antichrist,Discourse on the Method of Rightly Conducting One's Reason and of Seeking Truth in the Sciences,Nature,A Treatise of Human Nature,Symposium,An Enquiry Concerning Human Understanding,The World as Will and Idea (Vol. 1 of 3),The Elementary Forms of the Religious Life,Utilitarianism,"The Will to Believe, and Other Essays in Popular Philosophy","The Twilight of the Idols; or, How to Philosophize with the Hammer. The Antichrist: Complete Works, Volume Sixteen",The inequality of human races
,0.96149442511323,0.9510497820153853,0.8876782252881223,0.9099889005418944,0.9462674629564486,0.9474954127620334,0.9518276572744613,0.9134446768136628,0.9327632995686054,0.9142873243955721,0.9372179736796031,0.9874416943067115,0.9649948086350018,0.9621951505668596,0.8852550191465998,0.9273656279744732,0.9486083599292277,0.8799404760473395,0.948269594312242,0.9336981573907771,0.9853674265721867,0.8958831465799887,0.9817922912085179,0.9687631073537226,0.964636989519375
possibilities,0.0,0.00029030823626843263,0.0006619524424221644,0.006104897912080586,0.0011238330913972074,0.004233940561336887,0.0008388610375509353,0.0009608464342359706,0.0016193807284177175,0.002240900304891108,0.002818700672720611,0.00033008246508664936,0.0009713083126673395,0.002192898545227079,0.00396087256888859,0.00028693243439804244,0.0033255332512856363,0.0010446463902421916,0.0018436868327522528,0.004605548293607911,0.002705814443676485,0.006859164882364864,0.002481362151327341,0.0013692764768250497,0.000223917592738945
antiquated,0.0,0.0008709247088052979,0.0006619524424221644,0.0,0.0,0.0003024243258097776,0.0,0.0006405642894906471,0.0,0.0007469667682970361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010446463902421916,0.0,0.0,0.00015032302464869363,0.0,0.0,0.0,0.0
novelties,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003072811387920421,0.0,0.00015032302464869363,0.0,0.0,0.0,0.000223917592738945
lesson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037348338414851804,0.0002818700672720611,0.0,0.0,0.0,0.0,0.0017215946063882546,0.0,0.0006964309268281278,0.0,0.0,0.0,0.0007621294313738739,0.0,0.0,0.0
jump,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037348338414851804,0.0,0.0,0.0,0.00024365539391411992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thomas,0.0,0.0,0.0003309762212110822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024365539391411992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mutilation,0.0002624882405441523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024365539391411992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
discoverable,0.0005249764810883046,0.0,0.0009929286636332466,0.0014364465675483732,0.00028095827284930184,0.0021169702806684435,0.0002796203458503118,0.0009608464342359706,0.0006477522913670871,0.0007469667682970361,0.003100570739992672,0.0004951236976299741,0.0,0.0007309661817423598,0.004753047082666308,0.0,0.002494149938464227,0.0,0.007989309608593094,0.0024562924232575524,0.000751615123243468,0.0,0.0006203405378318352,0.0011410637306875414,0.00044783518547789
integrity,0.0,0.00029030823626843263,0.0,0.0,0.0,0.0,0.0,0.0,0.00032387614568354353,0.00037348338414851804,0.0002818700672720611,0.0,0.0,0.0007309661817423598,0.0,0.0008607973031941273,0.0,0.0,0.0,0.0,0.00015032302464869363,0.0,0.0002067801792772784,0.0,0.0
proffering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002282127461375083,0.0
staggering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024365539391411992,0.0,0.0,0.0,0.0003482154634140639,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intimately,0.0,0.0,0.0009929286636332466,0.0,0.0,0.0,0.0,0.0,0.0012955045827341741,0.0014939335365940722,0.0002818700672720611,0.0,0.0,0.00024365539391411992,0.0,0.0005738648687960849,0.0005542555418809393,0.0003482154634140639,0.0006145622775840842,0.0,0.00015032302464869363,0.0,0.0,0.0,0.0
evangelical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024365539391411992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
detained,0.0,0.0,0.0006619524424221644,0.0,0.0,0.0,0.0,0.0,0.00032387614568354353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
calling,0.0,0.0,0.0,0.0003591116418870933,0.0,0.0,0.0005592406917006236,0.0,0.0,0.00037348338414851804,0.0,0.0,0.0002428270781668349,0.00024365539391411992,0.0,0.0,0.0,0.0,0.0003072811387920421,0.0,0.0,0.0,0.0,0.0,0.0
bestowed,0.0,0.0,0.0,0.0,0.00028095827284930184,0.0,0.0,0.0,0.0,0.0,0.0,0.00016504123254332468,0.0,0.0,0.00039608725688885897,0.0,0.0,0.0,0.0006145622775840842,0.00030703655290719405,0.0,0.00038106471568693693,0.0,0.0,0.0
artizans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027712777094046967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
disapproved,0.0002624882405441523,0.0,0.0003309762212110822,0.0,0.0,0.0003024243258097776,0.0002796203458503118,0.003523103592198559,0.0009716284370506306,0.0,0.0002818700672720611,0.0,0.0002428270781668349,0.0,0.00039608725688885897,0.0,0.0,0.0013928618536562555,0.0003072811387920421,0.0009211096587215822,0.00015032302464869363,0.00038106471568693693,0.0,0.0002282127461375083,0.000223917592738945
cooked,0.0,0.0,0.0,0.0,0.0,0.0,0.0002796203458503118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030703655290719405,0.0,0.0,0.0,0.0,0.0
valid,0.0,0.0,0.0,0.00107733492566128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006140731058143881,0.0,0.0,0.0,0.0,0.0
