,"Wilde, Oscar","Machiavelli, Niccolò",Plato,"Russell, Bertrand","Locke, John","Nietzsche, Friedrich Wilhelm","Wittgenstein, Ludwig","Hesse, Hermann","Engels, Friedrich","Mill, John Stuart","Kant, Immanuel","Dewey, John","Pascal, Blaise",Aristotle,Boethius,"Spinoza, Benedictus de","Descartes, René","Emerson, Ralph Waldo","Hume, David","Schopenhauer, Arthur","Durkheim, Émile","James, William","Gobineau, Arthur, comte de"
armies,0.0,0.5773502691896258,0.0,0.0,0.0,0.0,0.0,0.0,0.5773502691896258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5773502691896258,0.0,0.0,0.0,0.0,0.0,0.0
contemporaries,0.0,0.4318894504492167,0.21594472522460836,0.0,0.0,0.07198157507486945,0.5038710255240862,0.35990787537434726,0.0,0.21594472522460836,0.2879263002994778,0.0,0.1439631501497389,0.1439631501497389,0.21594472522460836,0.07198157507486945,0.1439631501497389,0.21594472522460836,0.21594472522460836,0.0,0.0,0.1439631501497389,0.1439631501497389
definitely,0.03742405942825599,0.03742405942825599,0.0,0.11227217828476796,0.0,0.11227217828476796,0.03742405942825599,0.0,0.0,0.0,0.11227217828476796,0.03742405942825599,0.11227217828476796,0.11227217828476796,0.0,0.7859052479933757,0.0,0.03742405942825599,0.0,0.03742405942825599,0.5239368319955838,0.03742405942825599,0.18712029714127992
excite,0.09128709291752768,0.0,0.09128709291752768,0.0,0.0,0.09128709291752768,0.0,0.0,0.0,0.9128709291752769,0.0,0.18257418583505536,0.09128709291752768,0.09128709291752768,0.0,0.0,0.0,0.0,0.27386127875258304,0.0,0.09128709291752768,0.0,0.09128709291752768
january,0.0,0.0,0.3779644730092272,0.0,0.0,0.3779644730092272,0.3779644730092272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3779644730092272,0.3779644730092272,0.0,0.0,0.3779644730092272,0.3779644730092272
elapsed,0.0,0.0,0.0,0.7071067811865475,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
consciousness,0.329914439536929,0.0,0.12371791482634838,0.041239304942116126,0.12371791482634838,0.329914439536929,0.1649572197684645,0.041239304942116126,0.24743582965269675,0.329914439536929,0.12371791482634838,0.6185895741317419,0.20619652471058064,0.041239304942116126,0.12371791482634838,0.0,0.12371791482634838,0.12371791482634838,0.08247860988423225,0.0,0.1649572197684645,0.1649572197684645,0.041239304942116126
constant,0.0,0.0,0.0,0.09534625892455924,0.0,0.19069251784911848,0.28603877677367767,0.09534625892455924,0.6674238124719146,0.0,0.0,0.38138503569823695,0.0,0.09534625892455924,0.28603877677367767,0.0,0.09534625892455924,0.28603877677367767,0.28603877677367767,0.0,0.0,0.0,0.09534625892455924
realise,0.18033392693348646,0.0,0.0,0.0,0.0,0.2705008904002297,0.2705008904002297,0.0,0.0,0.0,0.09016696346674323,0.0,0.0,0.9016696346674322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contrary,0.026783579200279007,0.053567158400558014,0.21426863360223206,0.13391789600139503,0.08035073760083702,0.2946193712030691,0.0,0.0,0.16070147520167405,0.21426863360223206,0.5624551632058591,0.13391789600139503,0.10713431680111603,0.10713431680111603,0.053567158400558014,0.2946193712030691,0.24105221280251107,0.0,0.4285372672044641,0.0,0.13391789600139503,0.16070147520167405,0.18748505440195304
