,"Wilde, Oscar","Machiavelli, Niccolò",Plato,"Russell, Bertrand","Locke, John","Nietzsche, Friedrich Wilhelm","Wittgenstein, Ludwig","Hesse, Hermann","Engels, Friedrich","Mill, John Stuart","Kant, Immanuel","Dewey, John","Pascal, Blaise",Aristotle,Boethius,"Spinoza, Benedictus de","Descartes, René","Emerson, Ralph Waldo","Hume, David","Schopenhauer, Arthur","Durkheim, Émile","James, William","Gobineau, Arthur, comte de"
armies,0.0,0.0018787883670313837,0.0,0.0,0.0,0.0,0.0,0.0,0.0015740114147824013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001703213003725838,0.0,0.0,0.0,0.0,0.0,0.0
contemporaries,0.0,0.005636365101094151,0.0021988669421555735,0.0,0.0,0.0009202572618519233,0.006280338461430374,0.004559520317589113,0.0,0.0025730823871145257,0.0031956181049319467,0.0,0.0019041669994785575,0.0016791865478611384,0.00313401441396856,0.0009258703626708408,0.001703213003725838,0.0023006351447736905,0.0029037531227184563,0.0,0.0,0.0021771190924714675,0.001699035444658537
definitely,0.0009551124514953583,0.0009393941835156919,0.0,0.002598287980453665,0.0,0.00276077178555577,0.0008971912087757677,0.0,0.0,0.0,0.0023967135786989602,0.0009220303088939024,0.002856250499217836,0.0025187798217917077,0.0,0.019443277616087655,0.0,0.0007668783815912302,0.0,0.0015793078942544225,0.012347321006544515,0.0010885595462357337,0.004247588611646342
excite,0.0009551124514953583,0.0,0.0007329556473851911,0.0,0.0,0.0009202572618519233,0.0,0.0,0.0,0.008576941290381753,0.0,0.0018440606177878049,0.0009520834997392788,0.0008395932739305692,0.0,0.0,0.0,0.0,0.0029037531227184563,0.0,0.0008819515004674653,0.0,0.0008495177223292685
january,0.0,0.0,0.0007329556473851911,0.0,0.0,0.0009202572618519233,0.0008971912087757677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007668783815912302,0.0009679177075728187,0.0,0.0,0.0010885595462357337,0.0008495177223292685
elapsed,0.0,0.0,0.0,0.0008660959934845551,0.0,0.0,0.0,0.0,0.0,0.0,0.0007989045262329867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
consciousness,0.007640899611962866,0.0,0.0021988669421555735,0.0008660959934845551,0.0026064124691671303,0.007362058094815387,0.003588764835103071,0.0009119040635178226,0.004722034244347204,0.0068615530323054025,0.0023967135786989602,0.013830454633408536,0.004760417498696394,0.0008395932739305692,0.00313401441396856,0.0,0.0025548195055887573,0.0023006351447736905,0.0019358354151456374,0.0,0.003527806001869861,0.004354238184942935,0.0008495177223292685
constant,0.0,0.0,0.0,0.0008660959934845551,0.0,0.0018405145237038467,0.002691573626327303,0.0009119040635178226,0.0055090399517384045,0.0,0.0,0.0036881212355756097,0.0,0.0008395932739305692,0.00313401441396856,0.0,0.000851606501862919,0.0023006351447736905,0.0029037531227184563,0.0,0.0,0.0,0.0008495177223292685
realise,0.0019102249029907166,0.0,0.0,0.0,0.0,0.00276077178555577,0.002691573626327303,0.0,0.0,0.0,0.0007989045262329867,0.0,0.0,0.008395932739305693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contrary,0.0009551124514953583,0.0018787883670313837,0.005863645179081529,0.0043304799674227755,0.0026064124691671303,0.010122829880371156,0.0,0.0,0.004722034244347204,0.0068615530323054025,0.01677699505089272,0.004610151544469512,0.003808333998957115,0.003358373095722277,0.0020893429426457064,0.01018457398937925,0.007664458516766272,0.0,0.015486683321165099,0.0,0.0044097575023373265,0.006531357277414402,0.005946624056304879
