track_id,track_name,artist,artist_id,album_id,album_name,track_duration
1XXwItGFhOuvQmopWby2dP,Pictures of You,Drugdealer,0tMnuEXTeJeHbslcV8OybJ,7kaw62RSTT97qeCUyURCLN,Hiding in Plain Sight,189466
1XXwItGFhOuvQmopWby2dP,Pictures of You,Kate Bollinger,4eArh1v6UwBbKkjdgHCned,7kaw62RSTT97qeCUyURCLN,Hiding in Plain Sight,189466
3MhnEKDLmQYjoKWuvjJJyM,Homicide Ride,Channel Live,5qik0lR9qY7eQPYAK4OUTo,2FNK3h0iIIL5C3cKjgJuNQ,Station Identification,278026
0ibpvxLcFccvQJd0SjdUvW,Connaissais de Face,Khruangbin,2mVVjNmdjXZZDvhgQWiakk,2IzUZlhtBvPQYs74KeG6fb,Mordechai,260732
5LInOGDHqrgetnMlnvaDNq,Everything Eventually Ends,L'Impératrice,4PwlsrN0t5mLN0C827cbEU,5pk9cqTDktuytdBNidkke4,Everything Eventually Ends,177280
5LInOGDHqrgetnMlnvaDNq,Everything Eventually Ends,Rejjie Snow,3lLHpTOJ11tWiUNGYN14gt,5pk9cqTDktuytdBNidkke4,Everything Eventually Ends,177280
1wAqhAF1dynDjMy7m5CSSE,New Slang,The Shins,4LG4Bs1Gadht7TCrMytQUO,1OXUnUd8QPoVJpStlBGn0J,"Oh, Inverted World",231173
3BeaiIXko9QV8689eWB6yd,Stockholmsvy,Hannes,5bWgLmSpWnixX3inugtAVY,0LHAqxNQQgAlh7wk3aRWgM,Stockholmsvy,161396
3BeaiIXko9QV8689eWB6yd,Stockholmsvy,waterbaby,7ig7r3UikvL9qJe7pQvCBn,0LHAqxNQQgAlh7wk3aRWgM,Stockholmsvy,161396
1ytLOX3vtOnLoXtXW2Ubo8,Woke Up Feeling Like Sleeping,Juan Wauters,7CKkZZW3XtnPmqlwaElmoV,45JpnRXCxu3nns2JDulD1Q,N.A.P. North American Poetry,102379
6QoCMSRMoNjRHzZY86CO88,Leda,Dickon Hinchliffe,3SzIzpOIDpgwKNWaKL4FG4,59phC9CKYSE8rBYSDaBM1p,The Lost Daughter (Soundtrack from the Netflix Film),134582
2eeWZk0XHH0hYWRSPCBmSS,Foto,Martin Courtney,4JuWruv1jBeWne0sJTUH3k,2TI3SjitA9rj1QSrvyYGNa,Many Moons,271143
0WkW5niZfdpsZsBcetJpYz,One Beer,The Pro-Teens,197qjYm2ZpiwHsGufybt15,40k8HqQiejtsEY9nOnWLTN,Peachfuzz / One Beer,242563
5weaMKbpUyNejn9C5Q2mLO,Mean Maybe,Yellowbirds,7jhLDZmwCt286VkegUD67F,6b97b7ZBU24L6XrWohB9Cm,Songs from the Vanished Frontier,181493
6QR9FB8xvjtxLknolyTnnQ,Geninha,Bango,0A7ykdqXt8umX4eqzaEmp3,4Mi5L2ArvAdfFUSs8TeXqL,Bango,206520
3yHY26MxNPskcwJHkqhJnd,The Revolt Of The Dyke Brigade,John Fahey,4js8BDiQwnHLlDmT1shPH7,4pwxM5eZLVqlsmgsRh9m73,"Days Have Gone By, Vol. 6",158760
7u0fz3V6cYeYTX91DMmIvQ,Food for the Soul,it's murph,3zW0xazqnHoq9QV9zBROVC,3U20hCbqPM745vgo0PVcmw,Food for the Soul,210562
4BD8vMDh8n7YxExjcMiVy4,La notte muore (orchestra),Sandro Brugnolini,31Z6mUDFOvTooxYZjumHns,1eC61IrgKxiaGpO4bu5mnb,L'uomo dagli occhiali a specchio,159000
32L6JbUvNeE071HYLz2n3U,Dorothy,Puccio Roelens,1nFSDOQenUg713aevfRd1l,51YcSactARvPS02I0uuQkI,La Musica Di Puccio Roelens,117783
2vLOp49DQywlukiABmNOzC,Atmosphere - Remastered,Piero Umiliani,5sD7Cf3SaTVcrg81GQi1Xk,5Uwub8IS3cEJtO5XhcgvuE,Piano Fender Blues (Remastered),225187
1mQ3ryvTBSWeEMkH0Ul4gK,Calibre,Lô Borges,1mZbRiSVb2ExneAlDbBiiT,0fXZAZ5XejnxhgRV38SH5I,Lô Borges,89333
7sFiiaR8MdQ1qllJSZj3oi,A Man... A Story II,Gianni Ferrio,2Ia7HKF0YVV0IGkgeQWeDX,4qZ9ADac7wrXfTAE3UOt9f,Un dollaro bucato (Original Motion Picture Soundtrack),65600
2RuOx8TOWRGbMoNw2lQvCa,Mistress Arrives,Michel Colombier,5zl0vKMseEhdyXv88He8WQ,1UdsZGcbEx1vTyzSZczsTW,Colossus: The Forbin Project (Original Motion Picture Soundtrack),64693
72MfFeKxnBCeuwN62QnshP,Chaser,Piero Umiliani,5sD7Cf3SaTVcrg81GQi1Xk,1KfQM65RrgBkiNblI9Jxc7,Il Corpo,88241
6pxRUd0MWD9OUo705zZmIO,The End of Love,Dominic Frontiere,3G40HSgDqCQowGDCpEzlYe,6ZKRAg4H5rN7rQKfrv4hOc,On Any Sunday (Original Soundtrack Recording),138221
6XI81tqgiHWghUrDwXt01j,8-Steps To Perfection,Company Flow,0y0VESpVYa8xyNAxu77kcS,6RFmZLQxcjog55cfLtD2m4,TRUE UNDERGROUND HIP HOP 2,283733
2JoXWTXAeUz8NqLoPiyuXa,111OOO,KevinTheCreep,3ya52aWfAGsATcRwuSIovX,3ayNOUeC9dyCctnCWCXRLp,Playa Classics 111,128012
68JWFK4RuGEIGFqErfGcDN,Hittin' Switchez,Former City Records,0HOe9Qrbs4Tb4A6hj5ISzj,3mQJAuOXkePup2am39pslB,Star Point Tactics,60894
