0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.595,0.656,7,-7.868,1,0.247,0.148,0.0,0.47,0.416,99.811,4,Believe What I Say,Kanye West,63,242400,2021-08-29
0.376,0.718,7,-6.7,1,0.246,0.0996,0.00332,0.633,0.615,91.115,4,One Beer,MF DOOM,70,258586,2004-11-16
0.776,0.68,8,-9.151,0,0.0929,0.00347,5.97e-06,0.333,0.962,113.881,4,Autumn,Richenel,30,389087,2017-03-02
0.901,0.846,2,-7.99,1,0.344,0.036,0.0,0.313,0.461,97.856,4,You Don't Work U Don't Eat,Wc And The Maad Circle,13,267560,1991-01-01
0.313,0.241,0,-16.474,1,0.0382,0.948,0.859,0.102,0.0859,119.796,3,Echo's Answer,Broadcast,44,191893,2000-03-20
0.633,0.504,5,-11.138,0,0.0819,0.678,0.365,0.104,0.629,195.524,4,Freudian Slip,Ulrika Spacek,32,169341,2018-04-21
0.534,0.521,9,-15.069,1,0.0272,0.407,0.627,0.204,0.916,112.766,4,Sugar,Kool & The Gang,11,339306,1976-03
0.713,0.55,5,-5.594,0,0.0588,0.0914,0.0743,0.165,0.785,91.33,4,I Wonder Why,Ayatollah,11,164320,2006-01-24
0.792,0.72,5,-5.81,1,0.0378,0.661,0.304,0.109,0.942,100.163,4,I Get Lifted,George McCrae,25,166880,2010-10-15
0.341,0.525,9,-10.001,1,0.0468,0.236,1.28e-06,0.128,0.387,117.983,3,Buoyant Forces,Blaue Blume,23,295386,2015-10-23
0.675,0.775,4,-5.772,1,0.0522,0.0387,0.0,0.383,0.933,99.945,4,When It's Over - David Kahne Main,Sugar Ray,55,217853,2001-06-12
0.465,0.779,10,-15.326,0,0.0373,0.012,0.834,0.178,0.962,111.907,4,Spiral,The Crusaders,27,373133,1976-01-01
0.562,0.709,2,-4.827,1,0.0277,0.00255,0.201,0.0805,0.265,136.022,4,Allergies,Sisyfuss,36,226142,2017-10-12
0.583,0.511,7,-9.257,1,0.0251,0.539,0.856,0.11,0.39,90.689,4,Chill Out,Triathalon,35,228775,2015-11-13
0.626,0.341,2,-10.673,1,0.0348,0.663,0.00272,0.16,0.717,90.236,4,Really Wanna Know,Diners,7,80466,2015-11-18
0.826,0.6,6,-11.847,0,0.381,0.185,0.0,0.0431,0.893,93.75,4,S Dot Freestyle - Explict,DJ Clue,13,154488,2009-10-03
0.453,0.901,2,-6.314,1,0.685,0.239,0.0,0.374,0.676,83.833,4,Children of the Corn,A-Mafia,10,201795,2019-11-30
0.393,0.487,0,-6.348,1,0.0337,0.229,0.0,0.128,0.3,151.958,4,Mind Over Matter (Reprise),Young the Giant,71,230866,2015-04-18
0.686,0.494,1,-7.093,1,0.0355,0.613,5.8e-05,0.402,0.7,168.946,4,Bad Habit,Steve Lacy,82,232066,2022-07-15
0.496,0.572,9,-9.65,1,0.0354,0.517,0.11,0.402,0.295,124.394,4,Green Sugar,Kikagaku Moyo,33,474000,2016-05-13
0.507,0.722,1,-8.164,1,0.0239,9.91e-06,0.0483,0.132,0.303,88.998,4,Windowpane,Mild High Club,51,237300,2015-09-18
0.244,0.896,6,-5.576,0,0.464,0.0614,2.83e-05,0.127,0.142,83.354,4,Pretty Visitors,Arctic Monkeys,58,220506,2009-08-20
0.703,0.577,2,-7.974,0,0.369,0.00256,0.0,0.217,0.259,141.005,4,Just In Time (feat. Lil Wayne & Kenny Mason),JID,58,207059,2022-10-31
0.431,0.955,9,-5.282,1,0.0641,8.47e-05,0.263,0.39,0.157,110.142,4,Clearer,Wand,19,214373,2014-08-26
0.517,0.526,0,-10.569,1,0.0398,0.433,0.0146,0.0822,0.497,112.657,3,Chifundo,WITCH,34,309973,2011-05-22
0.465,0.673,4,-8.396,1,0.0355,0.212,0.605,0.136,0.62,134.986,4,I Don't Care Anymore,Cathedral Bells,42,290556,2021-10-08
0.558,0.738,11,-7.84,0,0.0689,0.603,0.943,0.112,0.802,96.021,4,Im Blau,Mildlife,24,428440,2017-11-02
0.493,0.593,2,-13.3,0,0.0613,0.252,0.891,0.0733,0.841,93.397,4,Moby Dick - Intro / Outro Rough Mix,Led Zeppelin,52,98373,1969-10-22
0.766,0.806,8,-10.011,1,0.0403,0.124,0.171,0.119,0.76,123.51,4,Swim and Sleep (Like a Shark),Unknown Mortal Orchestra,56,165226,2013-02-05
0.224,0.753,0,-8.164,1,0.0943,0.0713,0.116,0.404,0.482,110.805,3,In The Flowers,Animal Collective,32,322026,2009-01-10
0.625,0.839,10,-6.464,0,0.0682,0.114,0.56,0.356,0.823,174.942,4,I Have To Work On My Script,NxxxxxS,33,164571,2019-06-21
