0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0.384,0.921,11,-3.334,1,0.055,0.0948,0.0,0.168,0.471,89.922,4,Scars,Papa Roach,64,208186,2004-01-01,2
0.405,0.689,10,-5.75,1,0.0365,0.0843,0.0,0.207,0.397,155.189,4,Nine in the Afternoon - Single Mix,Panic! At The Disco,60,191560,2008-03-21,4
0.654,0.53,6,-7.409,1,0.0556,0.000113,0.0197,0.0534,0.584,119.284,4,Bound For The Floor,Local H,62,222960,1996-01-01,6
0.222,0.402,2,-12.676,0,0.034,0.889,0.293,0.0897,0.0829,150.894,4,Synthesize Me,The Space Lady,31,285906,2013-11-18,2
0.399,0.686,0,-7.367,1,0.0596,0.0666,0.00387,0.122,0.56,110.658,4,Listen To Me,Baby Huey,31,401546,1971,5
0.688,0.531,6,-7.007,0,0.299,0.453,0.0,0.302,0.614,91.918,4,Outro,K-Otix,28,54653,1997,9
0.75,0.506,10,-8.215,1,0.0852,0.0222,0.0,0.0986,0.067,137.978,4,Too Playa,Migos,46,312741,2018-01-26,5
0.734,0.838,1,-3.109,1,0.0884,0.0246,1.15e-05,0.0555,0.518,85.19,4,Til The End,Lloyd Banks,36,309760,2004-01-01,5
0.705,0.702,0,-4.783,0,0.108,0.138,0.0,0.364,0.771,140.059,4,Grove St. Party (feat. Kebo Gotti),Waka Flocka Flame,59,250493,2010-10-01,3
0.577,0.965,10,-4.22,1,0.0499,0.00683,0.00857,0.188,0.84,106.992,4,Congratulations,Dumbo Gets Mad,30,229693,2021-02-03,8
0.809,0.483,2,-7.035,1,0.045,0.672,0.192,0.135,0.661,95.011,4,Somebody New,Swim Mountain,40,194733,2021-10-08,6
0.756,0.844,0,-3.269,1,0.0288,0.145,0.0,0.132,0.781,119.965,4,Don't Want to Say Good-bye,Cut Worms,37,171468,2018-05-04,8
0.744,0.514,1,-10.971,1,0.0256,0.645,0.00234,0.0917,0.48,90.075,4,Dina,Sports,31,239840,2015-07-24,7
0.457,0.897,2,-7.531,1,0.0377,0.103,2.3e-06,0.073,0.599,182.333,4,Sex Beat,The Gun Club,41,168853,1981-08-31,4
0.745,0.82,1,-6.579,1,0.124,0.523,0.0,0.879,0.365,121.72,3,Iced out Castles,Black Kray,46,207484,2005-08-02,3
0.705,0.734,0,-4.718,1,0.426,0.0272,2.51e-06,0.191,0.817,112.654,5,Certified feat. Bilal,Guru's Jazzmatazz,36,280893,2000-01-01,6
0.677,0.928,1,-5.812,1,0.329,0.356,0.0127,0.792,0.765,202.046,4,Hazlo Correcto,Red Astaire,15,247173,2007,4
0.742,0.756,7,-4.041,1,0.137,0.0732,0.0,0.133,0.746,104.069,4,A Little Salsa - People Under The Stairs Remix,Ugly Duckling,8,239733,2001-10-01,6
0.562,0.638,5,-6.891,0,0.0598,0.369,2.73e-06,0.318,0.739,99.944,4,Why I Came To California,Dent May,31,279231,2019-01-14,7
0.719,0.671,11,-6.881,1,0.404,0.175,0.0,0.133,0.704,94.983,4,Royal Flush (feat. André 3000 & Raekwon),Big Boi,31,195360,2008-04-26,5
0.715,0.885,1,-4.583,1,0.303,0.134,1.86e-06,0.423,0.88,94.335,4,Hydrant Game (Jaylib Remix),Quasimoto,32,97013,2007-10-02,8
0.795,0.799,4,-8.249,0,0.0702,0.494,0.17,0.31,0.543,104.007,4,Favelas,Degiheugi,50,222673,2021-04-23,4
0.8,0.544,2,-10.02,0,0.0285,0.359,0.00324,0.108,0.713,99.952,4,The Same Love That Made Me Laugh,Bill Withers,48,204706,1974-08-08,6
0.743,0.854,11,-5.725,0,0.0373,0.0158,0.825,0.344,0.756,137.157,4,Guajira Sicodélica,Los Destellos,51,212466,2016-08-01,6
0.614,0.592,0,-10.334,1,0.0982,0.0451,4.81e-06,0.14,0.492,83.342,4,Where My Homiez? (Come Around My Way),Ill Al Skratch,30,341466,1994-01-01,10
0.682,0.544,7,-5.84,0,0.0335,0.439,0.374,0.312,0.955,106.327,4,Persian Cat Ska (aka In a Persian Market),Tommy McCook,19,153866,2022-03-25,5
0.385,0.664,4,-6.691,1,0.0304,0.00029,0.186,0.0631,0.414,180.107,3,November,Psychedelic Porn Crumpets,45,408613,2017-04-14,3
0.749,0.382,1,-9.447,1,0.0915,0.0367,0.963,0.14,0.403,156.017,4,Air Waves,CoryaYo,12,135361,2018-02-23,7
0.658,0.693,7,-4.742,1,0.132,0.0166,0.0,0.237,0.658,146.092,4,Party Like A Rock Star (Remix) feat. Chamillionaire & Lil Wayne,Shop Boyz,40,246720,2007-01-01,4
0.658,0.63,4,-6.89,0,0.0322,0.0947,0.417,0.133,0.652,117.038,4,88,Inner Wave,37,233747,2014-08-25,8
0.762,0.651,0,-13.34,1,0.0655,0.00198,0.856,0.111,0.941,130.395,4,Blue Monday,New Order,70,449160,1987-08-17,9
0.66,0.816,2,-6.61,1,0.0299,0.168,0.0181,0.0608,0.678,111.346,4,Don't You (Forget About Me),Simple Minds,73,263040,1985,8
0.75,0.599,10,-12.106,1,0.0403,0.625,4.68e-05,0.187,0.916,96.43,4,It's Your Thing,Ann Peebles,20,156013,1970-08-18,5
0.687,0.617,4,-5.213,1,0.0287,0.0941,1.27e-05,0.0898,0.665,121.079,4,Brazil,Declan McKenna,77,252306,2017-07-21,7
0.68,0.788,2,-10.243,1,0.0277,0.00237,0.57,0.324,0.734,125.949,4,Shane,Fruit Bats,38,221326,2020-04-15,7
0.557,0.586,10,-4.57,1,0.0382,0.0528,7.33e-06,0.339,0.0681,96.091,4,Waves,Kanye West,69,181573,2016-06-10,5
0.917,0.366,11,-9.635,0,0.0761,0.0055,0.92,0.314,0.876,95.995,4,Alone Together,14?,12,263235,2011-10-18,5
0.74,0.733,9,-3.343,0,0.248,0.243,0.0,0.184,0.218,91.603,4,Average Joe,Kendrick Lamar,44,256048,2010-09-14,6
0.593,0.228,6,-15.824,0,0.0682,0.312,0.83,0.152,0.647,176.037,4,Feel The Void,fat jon,33,199877,2009-07-10,6
0.693,0.397,11,-6.45,0,0.0296,0.609,0.0,0.104,0.559,106.249,4,Down Under 2012 - Solo Acoustic,Colin Hay,34,230916,2012-08-08,5
0.676,0.239,4,-13.444,1,0.03,0.91,0.000303,0.0959,0.333,85.015,4,In My Life,Johnny Cash,51,177000,2002-01-01,5
0.581,0.399,8,-15.775,1,0.0765,0.0676,0.000519,0.664,0.735,118.875,4,The Great Song Of Indifference,Bob Geldof,39,278266,1990-01-01,2
